"","ID","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Monthly_incomepred"
"1",871,43,"No","Travel_Frequently",1422,"Sales",2,"4","Life Sciences",1,1849,"1","Male",92,"3","2","Sales Executive","4","Married",19246,1,"Y","No",20,4,"3",80,"1",7,5,"3",7,7,7,7,5654.54884156182
"2",872,33,"No","Travel_Rarely",461,"Research & Development",13,"1","Life Sciences",1,995,"2","Female",53,"3","1","Research Scientist","4","Single",17241,3,"Y","No",18,3,"1",80,"0",5,4,"3",3,2,0,2,2842.19487697057
"3",873,55,"Yes","Travel_Rarely",267,"Sales",13,"4","Marketing",1,1372,"1","Male",85,"4","4","Sales Executive","3","Single",9277,6,"Y","Yes",17,3,"3",80,"0",24,2,"2",19,7,3,8,15791.6106832435
"4",874,36,"No","Non-Travel",1351,"Research & Development",9,"4","Life Sciences",1,1949,"1","Male",66,"4","1","Laboratory Technician","2","Married",9238,1,"Y","No",22,4,"2",80,"0",5,3,"3",5,4,0,2,3165.76043803099
"5",875,27,"No","Travel_Rarely",1302,"Research & Development",19,"3","Other",1,1619,"4","Male",67,"2","1","Laboratory Technician","1","Divorced",16290,1,"Y","No",11,3,"1",80,"2",7,3,"3",7,7,0,7,2423.968450776
"6",876,39,"Yes","Travel_Rarely",895,"Sales",5,"3","Technical Degree",1,42,"4","Male",56,"3","2","Sales Representative","4","Married",3335,3,"Y","No",14,3,"3",80,"1",19,6,"4",1,0,0,0,5727.31887881876
"7",877,33,"No","Non-Travel",750,"Sales",22,"2","Marketing",1,160,"3","Male",95,"3","2","Sales Executive","2","Married",15480,0,"Y","No",13,3,"1",80,"1",8,2,"4",7,7,0,7,5264.09862602936
"8",878,21,"Yes","Travel_Frequently",251,"Research & Development",10,"2","Life Sciences",1,1279,"1","Female",45,"2","1","Laboratory Technician","3","Single",25308,1,"Y","No",20,4,"3",80,"0",2,2,"1",2,2,2,2,2393.32800090001
"9",879,30,"No","Travel_Frequently",1312,"Research & Development",23,"3","Life Sciences",1,159,"1","Male",96,"1","1","Research Scientist","3","Divorced",22310,1,"Y","No",25,4,"3",80,"3",10,2,"2",10,7,0,9,2441.07752972705
"10",880,51,"No","Travel_Rarely",1405,"Research & Development",11,"2","Technical Degree",1,1367,"4","Female",82,"2","4","Manufacturing Director","2","Single",24439,3,"Y","No",16,3,"2",80,"0",29,1,"2",5,2,0,3,15029.6599945051
"11",881,46,"Yes","Travel_Rarely",377,"Sales",9,"3","Marketing",1,1457,"1","Male",52,"3","3","Sales Executive","4","Divorced",15986,4,"Y","No",11,3,"1",80,"1",28,1,"4",7,7,4,3,10462.0265640335
